"date","url"
"unknown","https://www.facebook.com/DonaldTrump/posts/1062099911942495/"
"unknown","https://www.facebook.com/watch/DonaldTrump/"
"unknown","https://www.facebook.com/reel/1541369067500018/"
"unknown","https://www.facebook.com/watch/?v=3843232735942623"
"unknown","https://www.facebook.com/watch/?v=2000160610744317"
"unknown","https://www.facebook.com/100059712481173/posts/1297397858927285/"
"unknown","https://www.facebook.com/reel/4468051406762167/"
"unknown","https://www.facebook.com/reel/795661853287128/"
"unknown","https://www.facebook.com/BBCnewsVietnamese/posts/%C3%B4ng-trump-n%C3%B3i-m%E1%BB%B9-%C4%91%C3%A3-th%E1%BA%A3o-lu%E1%BA%ADn-hi%E1%BB%87u-qu%E1%BA%A3-v%E1%BB%9Bi-%C3%B4ng-putin-t%E1%BB%95ng-th%E1%BB%91ng-m%E1%BB%B9-donald-trump-/1059223519577258/"
"unknown","https://www.facebook.com/reel/1272699284742611/"
